Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Player
Copa del Rey ,Final,5/13/09,Home,FC Barcelona,Athletic Bilbao,4:1,RW,55',2:1,Left-footed shot,Samuel Eto'o,Lionel Messi
Champions League ,Final,5/27/09,Home,FC Barcelona,Manchester United,2:0,RW,70',2:0,Header,Xavi,Lionel Messi
Supercopa ,final,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,50',1:0,Right-footed shot,Zlatan Ibrahimović,Lionel Messi
Supercopa ,final,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,68',2:0,Penalty,Not Applicable,Lionel Messi
LaLiga ,2,9/12/09,Away,FC Barcelona,Getafe CF,0:2,RW,78',0:2,Header,Zlatan Ibrahimović,Lionel Messi
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,15',2:0,Left-footed shot,Xavi,Lionel Messi
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,90'+3,5:2,Right-footed shot,Dani Alves,Lionel Messi
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,23',0:2,Left-footed shot,Xavi,Lionel Messi
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,63',0:4,Left-footed shot,Xavi,Lionel Messi
Champions League ,Group Stage,9/29/09,Home,FC Barcelona,Dynamo Kyiv,2:0,RW,25',1:0,Left-footed shot,Andrés Iniesta,Lionel Messi
LaLiga ,8,10/25/09,Home,FC Barcelona,Real Zaragoza,6:1,RW,80',5:1,Left-footed shot,Andrés Iniesta,Lionel Messi
LaLiga ,10,11/7/09,Home,FC Barcelona,RCD Mallorca,4:2,RW,86',4:1,Penalty,Not Applicable,Lionel Messi
Copa del Rey ,4th round,11/10/09,Home,FC Barcelona,Cultural Leonesa,5:0,RW,64',4:0,Left-footed shot,Pedro,Lionel Messi
LaLiga ,13,12/5/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,26',0:1,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,13,12/5/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,80',1:2,Header,Pedro,Lionel Messi
Champions League ,Group Stage,12/9/09,Away,FC Barcelona,Dynamo Kyiv,1:2,RW,86',1:2,Direct free kick,Not Applicable,Lionel Messi
Club World Cup ,Semi-Finals,12/16/09,Away,FC Barcelona,CF Atlante,1:3,RW,55',1:2,Left-footed shot,Zlatan Ibrahimović,Lionel Messi
Club World Cup ,Final,12/19/09,Away,FC Barcelona,Club Estudiantes de La Plata,1:2,RW,110',1:2,Chest,Dani Alves,Lionel Messi
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,36',0:1,Left-footed shot,Bojan Krkic,Lionel Messi
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,45',0:3,Right-footed shot,Bojan Krkic,Lionel Messi
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,75',0:4,Left-footed shot,Bojan Krkic,Lionel Messi
LaLiga ,18,1/16/10,Home,FC Barcelona,Sevilla FC,4:0,RW,85',3:0,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,18,1/16/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Éric Abidal,Lionel Messi
LaLiga ,19,1/23/10,Away,FC Barcelona,Real Valladolid CF,0:3,RW,54',0:3,Left-footed shot,Zlatan Ibrahimović,Lionel Messi
LaLiga ,21,2/6/10,Home,FC Barcelona,Getafe CF,2:1,RW,7',1:0,Left-footed shot,Yaya Touré,Lionel Messi
LaLiga ,24,2/27/10,Home,FC Barcelona,Málaga CF,2:1,AM,84',2:1,Right-footed shot,Dani Alves,Lionel Messi
LaLiga ,25,3/6/10,Away,FC Barcelona,UD Almería,2:2,RW,42',1:1,Direct free kick,Not Applicable,Lionel Messi
LaLiga ,25,3/6/10,Away,FC Barcelona,UD Almería,2:2,RW,66',2:2,Left-footed shot,Not Applicable,Lionel Messi
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,56',1:0,Left-footed shot,Xavi,Lionel Messi
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,80',2:0,Left-footed shot,Thierry Henry,Lionel Messi
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,82',3:0,Right-footed shot,Thierry Henry,Lionel Messi
Champions League ,last 16,3/17/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,13',1:0,Left-footed shot,Yaya Touré,Lionel Messi
Champions League ,last 16,3/17/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,56',3:0,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,4',0:1,Header,Pedro,Lionel Messi
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,65',0:2,Left-footed shot,Not Applicable,Lionel Messi
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,78',0:3,Left-footed shot,Andrés Iniesta,Lionel Messi
LaLiga ,30,4/3/10,Home,FC Barcelona,Athletic Bilbao,4:1,CF,67',4:0,Left-footed shot,Pedro,Lionel Messi
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,21',1:1,Left-footed shot,Not Applicable,Lionel Messi
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,37',2:1,Right-footed shot,Pedro,Lionel Messi
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,42',3:1,Left-footed shot,Seydou Keita,Lionel Messi
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,88',4:1,Solo run,Not Applicable,Lionel Messi
LaLiga ,31,4/10/10,Away,FC Barcelona,Real Madrid,0:2,CF,32',0:1,Right-footed shot,Xavi,Lionel Messi
LaLiga ,35,5/1/10,Away,FC Barcelona,Villarreal CF,1:4,CF,18',0:1,Left-footed shot,Xavi,Lionel Messi
LaLiga ,35,5/1/10,Away,FC Barcelona,Villarreal CF,1:4,CF,87',1:4,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,36,5/4/10,Home,FC Barcelona,CD Tenerife,4:1,RW,16',1:0,Right-footed shot,Zlatan Ibrahimović,Lionel Messi
LaLiga ,36,5/4/10,Home,FC Barcelona,CD Tenerife,4:1,RW,90'+3,4:1,Right-footed shot,Dani Alves,Lionel Messi
LaLiga ,37,5/8/10,Away,FC Barcelona,Sevilla FC,2:3,CF,5',0:1,Left-footed shot,Maxwell,Lionel Messi
LaLiga ,38,5/16/10,Home,FC Barcelona,Real Valladolid CF,4:0,CF,61',3:0,Right-footed shot,Yaya Touré,Lionel Messi
LaLiga ,38,5/16/10,Home,FC Barcelona,Real Valladolid CF,4:0,CF,74',4:0,Left-footed shot,Yaya Touré,Lionel Messi
Supercopa ,final,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,25',2:0,Left-footed shot,Xavi,Lionel Messi
Supercopa ,final,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,43',3:0,Right-footed shot,Dani Alves,Lionel Messi
Supercopa ,final,8/21/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Andrés Iniesta,Lionel Messi
LaLiga ,1,8/29/10,Away,FC Barcelona,Racing Santander,0:3,RW,3',0:1,Left-footed shot,Andrés Iniesta,Lionel Messi
Champions League ,Group Stage,9/14/10,Home,FC Barcelona,Panathinaikos FC,5:1,CF,22',1:1,Left-footed shot,Xavi,Lionel Messi
Champions League ,Group Stage,9/14/10,Home,FC Barcelona,Panathinaikos FC,5:1,CF,45',3:1,Left-footed shot,Pedro,Lionel Messi
LaLiga ,3,9/19/10,Away,FC Barcelona,Atlético de Madrid,1:2,CF,12',0:1,Left-footed shot,Pedro,Lionel Messi
LaLiga ,6,10/3/10,Home,FC Barcelona,RCD Mallorca,1:1,CF,20',1:0,Left-footed shot,Pedro,Lionel Messi
Champions League ,Group Stage,10/20/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,18',1:0,Left-footed shot,Andrés Iniesta,Lionel Messi
Champions League ,Group Stage,10/20/10,Home,FC Barcelona,FC Copenhagen,2:0,CF,90'+1,2:0,Left-footed shot,Éric Abidal,Lionel Messi
LaLiga ,8,10/23/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,41',0:1,Left-footed shot,David Villa,Lionel Messi
LaLiga ,8,10/23/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,65',0:2,Left-footed shot,Not Applicable,Lionel Messi
LaLiga ,9,10/30/10,Home,FC Barcelona,Sevilla FC,5:0,RW,4',1:0,Left-footed shot,Not Applicable,Lionel Messi
LaLiga ,9,10/30/10,Home,FC Barcelona,Sevilla FC,5:0,RW,63',4:0,Left-footed shot,Not Applicable,Lionel Messi
Champions League ,Group Stage,11/2/10,Away,FC Barcelona,FC Copenhagen,1:1,RW,31',0:1,Right-footed shot,Not Applicable,Lionel Messi
LaLiga ,10,11/7/10,Away,FC Barcelona,Getafe CF,1:3,CF,23',0:1,Left-footed shot,David Villa,Lionel Messi
Copa del Rey ,4th round,11/10/10,Home,FC Barcelona,Club Atlético de Ceuta,5:1,RW,67',5:1,Left-footed shot,Thiago,Lionel Messi
LaLiga ,11,11/13/10,Home,FC Barcelona,Villarreal CF,3:1,CF,58',2:1,Right-footed shot,Pedro,Lionel Messi
LaLiga ,11,11/13/10,Home,FC Barcelona,Villarreal CF,3:1,CF,83',3:1,Left-footed shot,Pedro,Lionel Messi
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,16',0:1,Left-footed shot,David Villa,Lionel Messi
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,36',0:5,Tap-in,Not Applicable,Lionel Messi
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,67',0:7,Tap-in,David Villa,Lionel Messi
Champions League ,Group Stage,11/24/10,Away,FC Barcelona,Panathinaikos FC,0:3,CF,63',0:2,Left-footed shot,Adriano,Lionel Messi
LaLiga ,14,12/4/10,Away,FC Barcelona,CA Osasuna,0:3,CF,64',0:2,Left-footed shot,David Villa,Lionel Messi
LaLiga ,14,12/4/10,Away,FC Barcelona,CA Osasuna,0:3,CF,82',0:3,Penalty,Not Applicable,Lionel Messi
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,46',3:0,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,86',4:0,Left-footed shot,Bojan Krkic,Lionel Messi
LaLiga ,18,1/8/11,Away,FC Barcelona,Deportivo de La Coruña,0:4,CF,51',0:2,Direct free kick,Not Applicable,Lionel Messi
Copa del Rey ,Quarter-Finals,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,44',1:0,Left-footed shot,Andrés Iniesta,Lionel Messi
Copa del Rey ,Quarter-Finals,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,63',2:0,Left-footed shot,Not Applicable,Lionel Messi
Copa del Rey ,Quarter-Finals,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,73',3:0,Left-footed shot,Xavi,Lionel Messi
Copa del Rey ,Quarter-Finals,1/19/11,Away,FC Barcelona,Real Betis Balompié,3:1,RW,37',2:1,Left-footed shot,Xavi,Lionel Messi
LaLiga ,20,1/22/11,Home,FC Barcelona,Racing Santander,3:0,CF,33',2:0,Penalty,Not Applicable,Lionel Messi
Copa del Rey ,Semi-Finals,1/26/11,Home,FC Barcelona,UD Almería,5:0,CF,9',1:0,Left-footed shot,Pedro,Lionel Messi
Copa del Rey ,Semi-Finals,1/26/11,Home,FC Barcelona,UD Almería,5:0,CF,15',3:0,Left-footed shot,Andrés Iniesta,Lionel Messi
LaLiga ,21,1/29/11,Away,FC Barcelona,Hércules CF,0:3,CF,87',0:2,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,21,1/29/11,Away,FC Barcelona,Hércules CF,0:3,CF,89',0:3,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,22,2/5/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,16',1:0,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,22,2/5/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,28',2:0,Left-footed shot,Pedro,Lionel Messi
LaLiga ,22,2/5/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,78',3:0,Left-footed shot,David Villa,Lionel Messi
LaLiga ,24,2/20/11,Home,FC Barcelona,Athletic Bilbao,2:1,CF,78',2:1,Right-footed shot,Dani Alves,Lionel Messi
LaLiga ,25,2/26/11,Away,FC Barcelona,RCD Mallorca,0:3,CF,38',0:1,Header,Seydou Keita,Lionel Messi
LaLiga ,26,3/2/11,Away,FC Barcelona,Valencia CF,0:1,CF,77',0:1,Left-footed shot,Adriano,Lionel Messi
Champions League ,last 16,3/8/11,Home,FC Barcelona,Arsenal FC,3:1,CF,49',1:0,Left-footed shot,Andrés Iniesta,Lionel Messi
Champions League ,last 16,3/8/11,Home,FC Barcelona,Arsenal FC,3:1,CF,72',3:1,Penalty,Not Applicable,Lionel Messi
LaLiga ,31,4/9/11,Home,FC Barcelona,UD Almería,3:1,CF,52',1:1,Penalty,Not Applicable,Lionel Messi
LaLiga ,31,4/9/11,Home,FC Barcelona,UD Almería,3:1,CF,90'+1,3:1,Left-footed shot,Seydou Keita,Lionel Messi
Champions League ,Quarter-Finals,4/12/11,Away,FC Barcelona,Shakhtar Donetsk,0:1,CF,42',0:1,Left-footed shot,Dani Alves,Lionel Messi
LaLiga ,32,4/16/11,Away,FC Barcelona,Real Madrid,1:1,CF,53',0:1,Penalty,Not Applicable,Lionel Messi
LaLiga ,33,4/23/11,Home,FC Barcelona,CA Osasuna,2:0,CF,87',2:0,Right-footed shot,Dani Alves,Lionel Messi
Champions League ,Semi-Finals,4/27/11,Away,FC Barcelona,Real Madrid,0:2,CF,76',0:1,Left-footed shot,Ibrahim Afellay,Lionel Messi
Champions League ,Semi-Finals,4/27/11,Away,FC Barcelona,Real Madrid,0:2,CF,87',0:2,Solo run,Sergio Busquets,Lionel Messi
Champions League ,Final,5/28/11,Home,FC Barcelona,Manchester United,3:1,CF,54',2:1,Left-footed shot,Andrés Iniesta,Lionel Messi
Supercopa ,final,8/14/11,Away,FC Barcelona,Real Madrid,2:2,CF,45',1:2,Left-footed shot,Thiago,Lionel Messi
Supercopa ,final,8/17/11,Home,FC Barcelona,Real Madrid,3:2,CF,44',2:1,Right-footed shot,Gerard Piqué,Lionel Messi
Supercopa ,final,8/17/11,Home,FC Barcelona,Real Madrid,3:2,CF,88',3:2,Left-footed shot,Adriano,Lionel Messi
UEFA Super Cup ,Final,8/26/11,Home,FC Barcelona,FC Porto,2:0,CF,39',1:0,Left-footed shot,Not Applicable,Lionel Messi
LaLiga ,2,8/29/11,Home,FC Barcelona,Villarreal CF,5:0,CF,51',4:0,Right-footed shot,Andrés Iniesta,Lionel Messi
LaLiga ,2,8/29/11,Home,FC Barcelona,Villarreal CF,5:0,CF,74',5:0,Left-footed shot,Thiago,Lionel Messi
LaLiga ,4,9/17/11,Home,FC Barcelona,CA Osasuna,8:0,CF,5',1:0,Left-footed shot,Dani Alves,Lionel Messi
